comparison,half_life,group
OS_vs_Ctrl,8.815862392,group_1
OS_vs_Ctrl,8.812387873,group_1
OS_vs_Ctrl,8.808972067,group_1
OS_vs_Ctrl,8.808916092,group_1
OS_vs_Ctrl,8.808916092,group_1
OS_vs_Ctrl,8.79527948,group_1
OS_vs_Ctrl,8.78853271,group_1
OS_vs_Ctrl,8.781685023,group_1
OS_vs_Ctrl,8.774903542,group_1
OS_vs_Ctrl,8.768187983,group_1
OS_vs_Ctrl,8.768132526,group_1
OS_vs_Ctrl,8.754621794,group_1
OS_vs_Ctrl,8.754621794,group_1
OS_vs_Ctrl,8.74788203,group_1
OS_vs_Ctrl,8.734433587,group_1
OS_vs_Ctrl,8.727724859,group_1
OS_vs_Ctrl,8.727724859,group_1
OS_vs_Ctrl,8.674423775,group_1
OS_vs_Ctrl,8.661145959,group_1
OS_vs_Ctrl,8.634873252,group_1
OS_vs_Ctrl,8.621662527,group_1
OS_vs_Ctrl,8.618446529,group_1
OS_vs_Ctrl,8.595575156,group_1
OS_vs_Ctrl,8.595575156,group_1
OS_vs_Ctrl,8.59232533,group_1
OS_vs_Ctrl,8.569645178,group_1
OS_vs_Ctrl,8.569645178,group_1
OS_vs_Ctrl,8.569645178,group_1
OS_vs_Ctrl,8.556738767,group_1
OS_vs_Ctrl,8.556738767,group_1
OS_vs_Ctrl,8.550300129,group_1
OS_vs_Ctrl,8.550300129,group_1
OS_vs_Ctrl,8.550300129,group_1
OS_vs_Ctrl,8.543871173,group_1
OS_vs_Ctrl,8.537451878,group_1
OS_vs_Ctrl,8.537451878,group_1
OS_vs_Ctrl,8.534245847,group_1
OS_vs_Ctrl,8.521445763,group_1
OS_vs_Ctrl,8.51825174,group_1
OS_vs_Ctrl,8.505499553,group_1
OS_vs_Ctrl,8.50231747,group_1
OS_vs_Ctrl,8.50231747,group_1
OS_vs_Ctrl,8.502265324,group_1
OS_vs_Ctrl,8.49278549,group_1
OS_vs_Ctrl,8.480109381,group_1
OS_vs_Ctrl,8.480109381,group_1
OS_vs_Ctrl,8.467471055,group_1
OS_vs_Ctrl,8.467419336,group_1
OS_vs_Ctrl,8.454870344,group_1
OS_vs_Ctrl,8.454870344,group_1
OS_vs_Ctrl,8.448532554,group_1
OS_vs_Ctrl,8.442307081,group_1
OS_vs_Ctrl,8.420308686,group_1
OS_vs_Ctrl,8.392323569,group_1
OS_vs_Ctrl,8.392323569,group_1
OS_vs_Ctrl,8.367603614,group_1
OS_vs_Ctrl,8.355298166,group_1
OS_vs_Ctrl,8.343028858,group_1
OS_vs_Ctrl,8.336907707,group_1
OS_vs_Ctrl,8.333800399,group_1
OS_vs_Ctrl,8.330795531,group_1
OS_vs_Ctrl,8.318598027,group_1
OS_vs_Ctrl,8.318598027,group_1
OS_vs_Ctrl,8.312512659,group_1
OS_vs_Ctrl,8.276186605,group_1
OS_vs_Ctrl,8.276186605,group_1
OS_vs_Ctrl,8.276137197,group_1
