ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,ctrl_log_10_HL,os_log_10_HL,rs_uniprot,group_3,rs_half_life,rs_log_10_HL
Q9CR61,ctrl,19.15247383,1.282224878,Q8C0L9,iso,1.625331928,1.282224878,0.210942067,Q8K1R3,CaNrf2-TG,29.38683091,1.468152754
Q99LB2,ctrl,19.14453904,1.282044914,P42925,iso,1.634692412,1.282044914,0.213436047,Q9QYA2,CaNrf2-TG,29.2924473,1.466755657
P82347,ctrl,19.1123385,1.281313829,Q9Z0J0,iso,1.642256452,1.281313829,0.215440977,Q9D7J9,CaNrf2-TG,29.25412259,1.466187077
P67778,ctrl,19.0482613,1.27985534,P97447,iso,1.646062828,1.27985534,0.216446408,Q9CQR4,CaNrf2-TG,29.25412259,1.466187077
Q03265,ctrl,18.93689535,1.277308779,Q91YN5,iso,1.655664324,1.277308779,0.218972291,Q8BMS1,CaNrf2-TG,29.1790015,1.465070426
P55772,ctrl,18.92913814,1.277130841,Q6P5H2,iso,1.657596495,1.277130841,0.21947882,Q18LF8,CaNrf2-TG,29.10487626,1.463965757
Q91VM9,ctrl,18.88993243,1.276230404,Q8CI32,iso,1.662448702,1.276230404,0.220748253,Q61425,CaNrf2-TG,29.02991082,1.462845702
Q9DCW4,ctrl,18.87398722,1.275863657,Q9DB05,iso,1.667329401,1.275863657,0.222021408,Q8K3K7,CaNrf2-TG,28.95593536,1.461737598
Q8BMS1,ctrl,18.79619222,1.274069878,Q501J2,iso,1.667331406,1.274069878,0.222021931,Q03265,CaNrf2-TG,28.77203854,1.458970633
Q9CXJ4,ctrl,18.79619222,1.274069878,Q9EPU0,iso,1.668310588,1.274069878,0.222276906,Q9QYR9,CaNrf2-TG,28.699964,1.457881352
Q91WS0,ctrl,18.75728092,1.273169883,Q9JJ28,iso,1.66929092,1.273169883,0.222532031,Q9Z0X1,CaNrf2-TG,28.5198807,1.455147705
P02469,ctrl,18.7185304,1.272271749,Q9D7S9,iso,1.669781518,1.272271749,0.22265965,Q8BIJ6,CaNrf2-TG,28.44847858,1.454059045
P00848,ctrl,18.70287312,1.271908328,Q8BYK6,iso,1.673225817,1.271908328,0.223554557,P40142,CaNrf2-TG,28.44847858,1.454059045
P03930,ctrl,18.68774583,1.271556919,Q6P6L0,iso,1.685144655,1.271556919,0.226637187,P67778,CaNrf2-TG,28.37743309,1.452973108
