uniprot,group,half_life,log_10_HL
Q8BHC4,ctrl,9.26915192,0.96704
Q62426,ctrl,9.269089944,0.967037096
Q9CYR0,ctrl,9.265310991,0.966860001
Q9ET78,ctrl,9.261596993,0.966685879
A2ASQ1,ctrl,9.257762322,0.966506027
P62242,ctrl,9.239005926,0.965625246
P25444,ctrl,9.208933034,0.964209315
Q9DCV4,ctrl,9.208933034,0.964209315
P47753,ctrl,9.186597844,0.963154705
P62270,ctrl,9.171828492,0.962455925
Q8K183,ctrl,9.164431319,0.962105521
P50516,ctrl,9.164370735,0.96210265
Q6NSR8,ctrl,9.164370735,0.96210265
Q91VW3,ctrl,9.164370735,0.96210265
P26883,ctrl,9.153297466,0.961577576
P09041,ctrl,9.142250924,0.961053137
O08709,ctrl,9.120237636,0.960006154
Q7TPR4,ctrl,9.120237636,0.960006154
P09542,ctrl,9.094629411,0.958785007
P20152,ctrl,9.092899475,0.95870239
Q922E6,ctrl,9.091050962,0.958614092
P61089,ctrl,9.076527565,0.957919731
Q01768,ctrl,9.076468138,0.957916887
P47740,ctrl,9.062050498,0.957226478
O35206,ctrl,9.047560491,0.956531495
P53026,ctrl,9.036767539,0.956013111
P61922,ctrl,9.018895069,0.955153334
Q9D020,ctrl,9.015258702,0.954978194
P84104,ctrl,9.004484146,0.954458838
Q80Y14,ctrl,9.004484146,0.954458838
Q9D8Z2,ctrl,8.997354334,0.954114824
Q62407,ctrl,8.990235805,0.953771083
P47962,ctrl,8.961873973,0.952398832
P48771,ctrl,8.940719756,0.951372482
P28474,ctrl,8.92667234,0.950689594
P10649,ctrl,8.905626577,0.949664481
Q9JMH6,ctrl,8.888268573,0.948817169
Q8VCR7,ctrl,8.8778521,0.948307906
P57784,ctrl,8.864001388,0.947629815
Q3U0B3,ctrl,8.857092227,0.947291167
Q9Z0S1,ctrl,8.843249754,0.946611891
P30115,ctrl,8.836429216,0.946276803
Q11011,ctrl,8.836429216,0.946276803
Q9EP69,ctrl,8.822707354,0.945601874
Q9JIK9,ctrl,8.822707354,0.945601874
A2AAJ9,ctrl,8.815862392,0.945264803
Q9DB15,ctrl,8.812387873,0.945093604
Q9CVB6,ctrl,8.808972067,0.944925233
Q7TQ95,ctrl,8.808916092,0.944922473
Q9D7N9,ctrl,8.808916092,0.944922473
Q9DCN2,ctrl,8.79527948,0.944249644
P60603,ctrl,8.78853271,0.943916373
Q8K4G1,ctrl,8.781685023,0.943577856
Q8R3F5,ctrl,8.774903542,0.943242351
P14824,ctrl,8.768187983,0.942909852
P22315,ctrl,8.768132526,0.942907105
O35435,ctrl,8.754621794,0.942237389
Q9D154,ctrl,8.754621794,0.942237389
Q8R123,ctrl,8.74788203,0.941902918
Q8VE22,ctrl,8.734433587,0.941234747
Q61171,ctrl,8.727724859,0.940901047
Q9CQ65,ctrl,8.727724859,0.940901047
Q920A7,ctrl,8.674423775,0.938240635
Q9D8E6,ctrl,8.661145959,0.937575357
Q8K0U4,ctrl,8.634873252,0.936255967
P13707,ctrl,8.621662527,0.93559102
P14869,ctrl,8.618446529,0.935428992
P61202,ctrl,8.595575156,0.934274942
Q9DC61,ctrl,8.595575156,0.934274942
P37804,ctrl,8.59232533,0.934110712
O88456,ctrl,8.569645178,0.932962841
Q8CI51,ctrl,8.569645178,0.932962841
Q8VDK1,ctrl,8.569645178,0.932962841
Q61735,ctrl,8.556738767,0.932308273
Q8BKY8,ctrl,8.556738767,0.932308273
Q02566,ctrl,8.550300129,0.931981359
