ctrl_uniprot,group_1,ctrl_half_life,ctrl_log_10_HL,os_uniprot,group_2,os_half_life,os_log_10_HL
Q6A0A9,ctrl,3.556470353,0.551019193,Q5SUR0,iso,8.234107633,0.91561654
Q7TSH2,ctrl,3.554236389,0.550746309,P14094,iso,8.234156541,0.915619119
Q9WUA3,ctrl,3.554236389,0.550746309,Q02566,iso,8.282218883,0.918146704
Q9WUK2,ctrl,3.554236389,0.550746309,Q9D8H7,iso,8.282218883,0.918146704
Q99M71,ctrl,3.552014331,0.550474709,P24527,iso,8.306436188,0.919414733
Q8VEK3,ctrl,3.54979505,0.550203279,Q9JKS4,iso,8.306436188,0.919414733
P07724,ctrl,3.545364796,0.549660928,P50608,iso,8.343028858,0.921323746
P40336,ctrl,3.536537381,0.548578253,P49722,iso,8.367603614,0.922601099
Q60649,ctrl,3.535437044,0.548443108,Q8BWB1,iso,8.379945361,0.923241187
P80314,ctrl,3.532140137,0.548037926,O08709,iso,8.392323569,0.92388222
Q8VHY0,ctrl,3.522277258,0.546823539,P16332,iso,8.392323569,0.92388222
Q3UMF0,ctrl,3.518995906,0.546418762,O70468,iso,8.410959599,0.924845547
Q61210,ctrl,3.518995906,0.546418762,Q8BP67,iso,8.42967858,0.925811015
Q7TSQ8,ctrl,3.514642148,0.545881113,Q8CHP8,iso,8.42967858,0.925811015
Q8VDD5,ctrl,3.508131674,0.545075886,Q9DBP5,iso,8.43906935,0.926294556
Q9D0B6,ctrl,3.505966873,0.544807808,P62908,iso,8.467471055,0.927753721
P61979,ctrl,3.488726611,0.542666938,O35295,iso,8.476946264,0.92823943
Q9CWX2,ctrl,3.484447385,0.542133911,P12367,iso,8.51825174,0.930350471
A3KG59,ctrl,3.482311707,0.541867643,Q64669,iso,8.531042222,0.931002091
P35283,ctrl,3.475920349,0.541069816,Q6NSR8,iso,8.531042222,0.931002091
P62192,ctrl,3.475920349,0.541069816,P62075,iso,8.537451878,0.931328269
Q9JKR6,ctrl,3.474857403,0.540936987,Q9D8N0,iso,8.556738767,0.932308273
Q66JZ4,ctrl,3.467434946,0.540008322,Q9D020,iso,8.563187109,0.932635434
Q9Z1D1,ctrl,3.458973609,0.538947249,Q9D7G0,iso,8.569645178,0.932962841
Q9JHR7,ctrl,3.455826321,0.538551908,Q9EP89,iso,8.582590582,0.933618396
Q62048,ctrl,3.452667556,0.538154764,A2AAJ9,iso,8.602082187,0.934603588
Q921F2,ctrl,3.438042471,0.536311237,A2AMM0,iso,8.608599078,0.934932482
O35344,ctrl,3.42765466,0.53499706,Q9Z2Q5,iso,8.61517939,0.935264325
P80316,ctrl,3.409144111,0.53264536,Q8R3F5,iso,8.647962678,0.936913807
Q923T9,ctrl,3.409144111,0.53264536,P56380,iso,8.661145959,0.937575357
P30999,ctrl,3.407099717,0.532384844,P47738,iso,8.661200072,0.937578071
Q64378,ctrl,3.400964533,0.531602103,P61358,iso,8.661200072,0.937578071
Q9D0F3,ctrl,3.39284072,0.530563472,Q923B6,iso,8.687687918,0.938904212
