mouse_group,half_life,condition,,,,,,,,,,,,,,,,,,,,,,,
CEJ,7.005024564,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,9.856411074,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,27.68491355,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,19.08812768,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,19.48958753,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,#N/A,Ctrl,,,,,,,,,,,,,,,,,,,,,,,
CEJ,16.30052396,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,14.88015071,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,19.96938046,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,20.21839339,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,17.20181612,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,19.27443358,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,6.201660409,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,18.40002072,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,8.734488619,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,19.40610282,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,18.5502109,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,19.38981707,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,16.73258131,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,19.57351728,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,6.017633919,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,6.368613725,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,4.947941155,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,26.74024191,ISO,,,,,,,,,,,,,,,,,,,,,,,
CEJ,#N/A,ISO,,,,,,,,,,,,,,,,,,,,,,,
